Date,Open,High,Low,Close,Adj Close,Volume
20/11/2000,112.4375,114.625,105,7.625,106.75,12600
21/11/2000,105,113.53125,104.125,7.71875,108.0625,10400
22/11/2000,105,108.9375,91,6.625,92.75,19400
24/11/2000,98.21875,103.25,94.5,7.25,101.5,10400
27/11/2000,109.375,110.25,99.96875,7.15625,100.1875,11300
28/11/2000,104.125,105,89.25,6.5625,91.875,14900
29/11/2000,91.875,94.5,77,6,84,30000
30/11/2000,82.25,84,73.5,5.875,82.25,24800
01/12/2000,82.25,92.75,81.375,5.875,82.25,17800
04/12/2000,87.5,91.875,84,6.03125,84.4375,15500
05/12/2000,85.75,88.375,81.8125,6.1875,86.625,20000
06/12/2000,88.8125,89.25,80.5,5.9375,83.125,13600
07/12/2000,84,84,77,5.78125,80.9375,9500
08/12/2000,84,84,77,5.6875,79.625,10100
11/12/2000,77,83.125,73.5,5.9375,83.125,26800
12/12/2000,85.96875,91.875,84,6.3125,88.375,16000
13/12/2000,93.625,95.375,84.875,6.25,87.5,10800
14/12/2000,87.9375,90.125,73.5,5.75,80.5,6600
15/12/2000,80.5,84,77,5.75,80.5,6300
18/12/2000,82.25,83.125,73.5,5.375,75.25,10800
19/12/2000,73.5,75.25,55.125,4.25,59.5,20200
20/12/2000,59.5,65.1875,52.5,4.125,57.75,37900
21/12/2000,59.5,66.5,56.875,4.3125,60.375,17500
22/12/2000,63,72.625,61.25,4.875,68.25,22200
26/12/2000,66.5,68.6875,63.875,4.8125,67.375,14300
27/12/2000,63,70.875,63,5.0625,70.875,15600
28/12/2000,67.375,71.3125,66.5,5.0625,70.875,12000
29/12/2000,69.125,70.65625,64.75,4.6875,65.625,15800
02/01/2001,64.75,68.25,61.25,4.4375,62.125,8100
03/01/2001,61.25,73.5,57.3125,4.8125,67.375,20100
04/01/2001,70,79.625,66.5,5.1875,72.625,22300
05/01/2001,75.25,77.875,65.625,4.9375,69.125,18300
08/01/2001,64.75,67.375,63,4.5625,63.875,10900
09/01/2001,63.875,69.5625,63.875,4.75,66.5,10400
10/01/2001,63.4375,65.625,63,4.5625,63.875,9100
11/01/2001,66.5,76.125,63.875,5.0625,70.875,21200
12/01/2001,73.5,77.875,70,5.5625,77.875,21600
16/01/2001,77.875,98,77,6.75,94.5,55600
17/01/2001,100.625,107.625,90.125,6.75,94.5,45900
18/01/2001,96.25,96.25,78.75,6.375,89.25,29500
19/01/2001,90.125,98,90.125,6.6875,93.625,19100
22/01/2001,92.75,93.625,84,6.4375,90.125,13100
23/01/2001,90.125,111.5625,88.375,7.6875,107.625,57400
24/01/2001,111.5625,123.375,105.875,7.625,106.75,46600
25/01/2001,112.875,114.625,105,7.625,106.75,27100
26/01/2001,105,111.125,103.25,7.625,106.75,20200
29/01/2001,108.5,112,108.5,8,112,9500
30/01/2001,113.75,115.5,108.5,7.75,108.5,17900
31/01/2001,109.8125,112,103.25,7.375,103.25,11700
01/02/2001,108.5,108.5,101.5,7.4375,104.125,5900
02/02/2001,102.8125,109.375,101.5,7.375,103.25,10200
05/02/2001,101.5,106.75,100.625,7.375,103.25,8400
06/02/2001,102.375,104.125,101.5,7.375,103.25,10300
07/02/2001,104.125,105.875,102.375,7.4375,104.125,13900
08/02/2001,104.5625,112,103.25,7.6875,107.625,5100
09/02/2001,106.3125,109.8125,105.875,7.625,106.75,6100
12/02/2001,105,106.75,103.25,7.5,105,5400
13/02/2001,103.25,106.75,103.25,7.4375,104.125,6700
14/02/2001,102.375,104.5625,101.5,7.40625,103.6875,7900
15/02/2001,103.25,106.75,102.375,7.375,103.25,6600
16/02/2001,101.5,101.9375,92.75,6.75,94.5,20300
20/02/2001,93.625,97.125,84.875,6.125,85.75,15900
21/02/2001,77,87.5,76.5625,6.0625,84.875,12400
22/02/2001,84,84.4375,77.875,5.6875,79.625,9200
23/02/2001,79.625,79.625,68.25,5.25,73.5,10700
26/02/2001,73.9375,86.625,72.625,5.875,82.25,10600
27/02/2001,81.375,83.125,74.375,5.5,77,6600
28/02/2001,80.5,80.5,71.75,5.5,77,8000
01/03/2001,75.25,77,70.4375,5.25,73.5,8100
02/03/2001,73.5,74.375,72.1875,5.25,73.5,6100
05/03/2001,73.5,77,68.25,5.125,71.75,6000
06/03/2001,71.75,78.75,70,5.375,75.25,10600
07/03/2001,76.5625,78.75,74.375,5.5,77,5000
08/03/2001,77,78.75,72.625,5.25,73.5,6600
09/03/2001,75.6875,75.6875,70,5.375,75.25,10000
12/03/2001,70,71.75,63,4.5,63,6300
13/03/2001,63.875,68.25,63,4.65625,65.1875,4600
14/03/2001,61.25,65.625,59.5,4.375,61.25,5600
15/03/2001,62.5625,66.5,58.625,4.375,61.25,5200
16/03/2001,63,63,54.25,3.875,54.25,11500
19/03/2001,56.875,59.5,54.25,4.125,57.75,4800
20/03/2001,59.5,66.5,58.625,4.359375,61.03125,10600
21/03/2001,59.9375,64.75,55.125,3.9375,55.125,18400
22/03/2001,55.125,56,48.125,3.9375,55.125,11000
23/03/2001,57.75,58.625,56.875,4.1875,58.625,3600
26/03/2001,59.5,60.375,56.4375,4.125,57.75,5600
27/03/2001,61.25,61.25,56,4.03125,56.4375,4200
28/03/2001,50.3125,56,49,3.5,49,9600
29/03/2001,49,52.0625,49,3.5,49,4800
30/03/2001,49.875,56,49,4,56,8200
02/04/2001,55.5625,56.4375,50.75,3.8125,53.375,3200
03/04/2001,53.375,53.375,38.5,3.25,45.5,13200
04/04/2001,42,44.625,36.75,2.8125,39.375,13900
05/04/2001,42.65625,45.5,41.125,3.0625,42.875,10800
06/04/2001,44.625,45.0625,42.4375,3.03125,42.4375,4000
09/04/2001,42.279999,43.68,39.900002,2.9,40.599998,2800
10/04/2001,43.400002,43.400002,41.02,2.95,41.299999,5400
11/04/2001,43.400002,43.400002,40.740002,2.91,40.740002,8100
12/04/2001,42,45.080002,41.580002,3.19,44.66,5800
16/04/2001,44.52,44.66,42.98,3.1,43.400002,2700
17/04/2001,43.119999,43.400002,40.599998,2.92,40.880001,10900
